FIPS*,,Name,RUC Code,Percent (All people in poverty (2023)),Lower Bound (All people in poverty (2023)),Upper Bound (All people in poverty (2023)),Percent (Children ages 0-17 in poverty (2023)),Lower Bound (Children ages 0-17 in poverty (2023)),Upper Bound (Children ages 0-17 in poverty (2023))
48087,,Collingsworth,9,18.9,14.9,22.9,31.8,23.8,39.8
48089,,Colorado,8,14.5,11.2,17.8,22.2,15.5,28.9
48091,,Comal,1,7.1,5.8,8.4,9.1,6.5,11.7
48093,,Comanche,9,17.6,14.3,20.9,27.2,20.5,33.9
48095,,Concho,8,22.2,16.8,27.6,26.6,18.2,35
48097,,Cooke,6,12.5,9.9,15.1,18.8,14,23.6
48099,,Coryell,2,12.2,9.4,15,15.8,11,20.6
48101,,Cottle,9,20.1,15.4,24.8,34.9,24.8,45
48103,,Crane,8,11.7,9,14.4,15.9,11.3,20.5
48105,,Crockett,8,15.3,11.6,19,21.1,14.4,27.8
48107,,Crosby,2,21.7,16.7,26.7,33,22.5,43.5
48109,,Culberson,9,20.5,15.6,25.4,33.6,23,44.2
48111,,Dallam,7,12.2,9.5,14.9,15.7,11,20.4
48113,,Dallas,1,13.8,12.9,14.7,19.5,17.6,21.4
48115,,Dawson,6,19.7,14.9,24.5,26.1,17.7,34.5
48117,,Deaf Smith,6,16.5,12.8,20.2,22.3,15.4,29.2
48119,,Delta,8,15.1,11.5,18.7,22.5,15.3,29.7
48121,,Denton,1,6.1,5.4,6.8,5.9,4.3,7.5
48123,,DeWitt,6,18.3,14.4,22.2,24.2,16.9,31.5
48125,,Dickens,8,18.4,14.3,22.5,28.3,19.7,36.9
48127,,Dimmit,7,27.3,21.8,32.8,36.3,25.8,46.8
48129,,Donley,8,16.9,12.6,21.2,25.7,17.7,33.7
48131,,Duval,9,29.1,23.1,35.1,42.8,31.5,54.1
48133,,Eastland,8,16.3,12.6,20,24.3,17.3,31.3
48135,,Ector,3,11.7,9.2,14.2,14.3,9.7,18.9
48137,,Edwards,9,19.7,14.8,24.6,34.7,23.5,45.9
48139,,Ellis,1,7.4,5.9,8.9,9,6,12
48141,,El Paso,2,18.5,17,20,23.8,20.7,26.9
48143,,Erath,5,15.8,12.9,18.7,17.5,12.7,22.3
48145,,Falls,2,20.1,15.4,24.8,25,16.6,33.4
48147,,Fannin,6,14.2,11.3,17.1,19.2,14.4,24
48149,,Fayette,6,9.3,7.2,11.4,13.2,8.6,17.8
48151,,Fisher,8,14.3,10.9,17.7,20.6,14.2,27
48153,,Floyd,8,20.3,15.7,24.9,31.9,22,41.8
48155,,Foard,9,16.8,12.8,20.8,25.9,17.7,34.1
48157,,Fort Bend,1,8.5,7.5,9.5,10.1,8.2,12
48159,,Franklin,9,14.1,10.9,17.3,21,14.4,27.6
48161,,Freestone,9,15.4,12,18.8,20.8,14.5,27.1
48163,,Frio,6,25.6,19.5,31.7,36.2,24.8,47.6
48165,,Gaines,6,13.4,10.1,16.7,19.3,13,25.6
48167,,Galveston,1,11.5,9.9,13.1,14.8,11.4,18.2
48169,,Garza,2,18.5,14.1,22.9,26.8,18.4,35.2
48171,,Gillespie,7,10,8,12,13.2,8.9,17.5
48173,,Glasscock,8,8.1,6.2,10,8,5.4,10.6
48175,,Goliad,3,13.8,10.6,17,22.4,15.1,29.7
48177,,Gonzales,6,17.6,14.3,20.9,24.9,18,31.8
48179,,Gray,6,17.3,14.1,20.5,22.4,17.1,27.7
48181,,Grayson,3,10.9,8.9,12.9,14.8,11.2,18.4
48183,,Gregg,2,16,13.8,18.2,22.9,18.6,27.2
48185,,Grimes,6,14.9,11.4,18.4,20.9,14.7,27.1
48187,,Guadalupe,1,8.1,6.6,9.6,10.7,7.6,13.8
48189,,Hale,4,19.3,15.2,23.4,28.8,21.6,36
48191,,Hall,9,22.1,16.8,27.4,36.8,25,48.6
48193,,Hamilton,8,13.7,10.5,16.9,21.5,14.9,28.1
48195,,Hansford,9,11.6,8.9,14.3,13.2,8.9,17.5
48197,,Hardeman,9,16.4,12.3,20.5,25.4,17.5,33.3
48199,,Hardin,2,11.5,9.1,13.9,15.1,10.9,19.3
48201,,Harris,1,16,15.4,16.6,22.4,21.1,23.7
48203,,Harrison,2,17.2,14.6,19.8,23.2,18.5,27.9
48205,,Hartley,9,8.5,6.4,10.6,8.3,5.7,10.9
48207,,Haskell,8,19.3,14.3,24.3,29.2,19.5,38.9
48209,,Hays,1,9.8,8.5,11.1,9.1,6.3,11.9
48211,,Hemphill,9,10.1,7.6,12.6,13.4,9.2,17.6
48213,,Henderson,4,16.9,14.4,19.4,23.6,18.3,28.9
48215,,Hidalgo,2,26.9,25.5,28.3,37.3,34.7,39.9
48217,,Hill,6,14.2,11.2,17.2,19.3,13.3,25.3
